project_a,project_b,winner,winner_name
MetaEra,4EVERLAND,project_b,4EVERLAND
Root Key Holder management portal,"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges.",project_b,"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges."
NanoDC Project,Filecoin Ledger App & Installation Hub,project_b,Filecoin Ledger App & Installation Hub
Drips,Cuview,project_a,Drips
CIDgravity Nextcloud App,PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild,project_b,PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild
FileScope AI: Blockchain-Powered Dataset Analysis Platform,Lynx – Storage Provider Retrieval Analytics Platform,project_b,Lynx – Storage Provider Retrieval Analytics Platform
Silvi: IPFS-Powered Biodiversity Infrastructure,OP Medicine – Filecoin-Powered Healthcare Infrastructure,project_b,OP Medicine – Filecoin-Powered Healthcare Infrastructure
Filecoin Spark,Cyberport Data Integration,project_a,Filecoin Spark
IPFS Desktop and Companion,Filecoin Deal Tool - Droplet,project_b,Filecoin Deal Tool - Droplet
Curio APT Repository (Filecoin APT),Beryx Filecoin API,project_b,Beryx Filecoin API
ND Labs,DevTTY Filecoin Mainnet Bootstrap Nodes,project_b,DevTTY Filecoin Mainnet Bootstrap Nodes
Helia,The Epoch Clock,project_a,Helia
Filecoin Nigeria,UCAN,project_a,Filecoin Nigeria
FilPunks,Boxo and Kubo,project_b,Boxo and Kubo
FilPonto: Public goods chain infrastructure & collaborations support for Filecoin,Filecoin Orbit Uganda,project_a,FilPonto: Public goods chain infrastructure & collaborations support for Filecoin
"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations",Filet Finance,project_a,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations"
Blockscout Open Source Filecoin Explorer,Boost,project_b,Boost
Filecoin Slack Community Admin,FilDOS,project_a,Filecoin Slack Community Admin
Filecoin Community Services,Forest Explorer,project_a,Filecoin Community Services
fil-miner-info.safematrix,Fil Implementers WG - Cross-Client Coordination and Governance,project_b,Fil Implementers WG - Cross-Client Coordination and Governance
Open Source Observer (OSO),FIL RetroPGF Data Analysis & Round Modeling,project_a,Open Source Observer (OSO)
Filecoin Client Implementation - Venus,Spacescope: API service for the Filecoin ecosystem,project_a,Filecoin Client Implementation - Venus
JZFS - Building Data Hub-and-Spoke Model with Filecoin,Axelar Network,project_b,Axelar Network
Forest,filsnap,project_a,Forest
CalibrationNet Stability Project,ETHAccra,project_b,ETHAccra
Lily: blockchain data extraction for Filecoin,Storacha-Solana-SDK,project_a,Lily: blockchain data extraction for Filecoin
FIL-B (FIL Builders) DX and Community,OrbitChina,project_a,FIL-B (FIL Builders) DX and Community
OneForm – SocialCap,Eastore,project_b,Eastore
Ancients Research,CIDgravity Filecoin Gateway,project_b,CIDgravity Filecoin Gateway
Secured Finance,ETH-FIL swap,project_a,Secured Finance
Filecoin FIPs Tracker,chainfee,project_b,chainfee
IPFS及Filecoin价值资讯传递（南山居士Hill）,Multichain Storage,project_b,Multichain Storage
Meet with Huddle01,Filecoin Beam,project_b,Filecoin Beam
Metrics for the Filecoin P2P network health,Filecoin Orbit Bootcamp Africa,project_a,Metrics for the Filecoin P2P network health
MUSE,OpenEdStore Decentralized Educational Storage Platform,project_b,OpenEdStore Decentralized Educational Storage Platform
IPFS Public Utilities,Curio Smart Cordon & Restart System,project_b,Curio Smart Cordon & Restart System
Filscan Explorer,Filmint,project_a,Filscan Explorer
B<>rder/ess Developers Program,py-libp2p: The Python libp2p Stack for Filecoin & IPFS,project_b,py-libp2p: The Python libp2p Stack for Filecoin & IPFS
Filecoin Address Drainer,iso-filecoin,project_b,iso-filecoin
FIL LAGOS,witnesschain,project_b,witnesschain
Crossfi,MYRAD,project_a,Crossfi
Beryx Filecoin Explorer,Filecoin Data Portal,project_b,Filecoin Data Portal
MechaFIL-JAX,Keypo,project_a,MechaFIL-JAX
SealGuard,FilOz – Advancing the Filecoin Protocol,project_b,FilOz – Advancing the Filecoin Protocol
Filecoin Community Service -VenusHub,FILCAPETOWN,project_a,Filecoin Community Service -VenusHub
Filecoin Kenya Community,Filliquid,project_b,Filliquid
Filecoin BigQuery Data Repository,Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods,project_a,Filecoin BigQuery Data Repository
go-libp2p,Old Faithful,project_a,go-libp2p
Filosign,Lighthouse,project_b,Lighthouse
Retrieval Tester,Eth Transport – Decentralized Civic Infrastructure on Filecoin,project_b,Eth Transport – Decentralized Civic Infrastructure on Filecoin
FIP 100 Research & Development,Chain.Love,project_a,FIP 100 Research & Development
Asia-SPWG,Safe on Filecoin,project_b,Safe on Filecoin
filecoin-checker,Curio Dashboard,project_b,Curio Dashboard
Guide To Filecoin - Easing the Transition to Filecoin.,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election,project_b,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election
FIP Editors - Filecoin Improvement Proposal Governance,BlockseBlock,project_a,FIP Editors - Filecoin Improvement Proposal Governance
GainForest: The world’s first community-owned data commons for nature impact,WarmWeb,project_a,GainForest: The world’s first community-owned data commons for nature impact
Curio Snark Market,ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption),project_a,Curio Snark Market
"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments",libp2p Community Architecting and Infra Management,project_a,"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments"
Forest Archive,万佳社区,project_a,Forest Archive
MetaEra,Curio Storage,project_b,Curio Storage
Root Key Holder management portal,boxo-starter-kit,project_a,Root Key Holder management portal
Filecoin Ledger App & Installation Hub,4EVERLAND,project_a,Filecoin Ledger App & Installation Hub
"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges.",Drips,project_b,Drips
CIDgravity Nextcloud App,NanoDC Project,project_b,NanoDC Project
Cuview,Lynx – Storage Provider Retrieval Analytics Platform,project_b,Lynx – Storage Provider Retrieval Analytics Platform
PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild,OP Medicine – Filecoin-Powered Healthcare Infrastructure,project_b,OP Medicine – Filecoin-Powered Healthcare Infrastructure
Cyberport Data Integration,FileScope AI: Blockchain-Powered Dataset Analysis Platform,project_a,Cyberport Data Integration
Silvi: IPFS-Powered Biodiversity Infrastructure,IPFS Desktop and Companion,project_b,IPFS Desktop and Companion
Filecoin Spark,Beryx Filecoin API,project_a,Filecoin Spark
DevTTY Filecoin Mainnet Bootstrap Nodes,Filecoin Deal Tool - Droplet,project_b,Filecoin Deal Tool - Droplet
Curio APT Repository (Filecoin APT),The Epoch Clock,project_a,Curio APT Repository (Filecoin APT)
Filecoin Nigeria,ND Labs,project_b,ND Labs
FilPunks,Helia,project_b,Helia
UCAN,FilPonto: Public goods chain infrastructure & collaborations support for Filecoin,project_b,FilPonto: Public goods chain infrastructure & collaborations support for Filecoin
Boxo and Kubo,Filet Finance,project_b,Filet Finance
Filecoin Orbit Uganda,Boost,project_b,Boost
"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations",FilDOS,project_a,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations"
Blockscout Open Source Filecoin Explorer,Forest Explorer,project_a,Blockscout Open Source Filecoin Explorer
Filecoin Slack Community Admin,Fil Implementers WG - Cross-Client Coordination and Governance,project_b,Fil Implementers WG - Cross-Client Coordination and Governance
Open Source Observer (OSO),Filecoin Community Services,project_b,Filecoin Community Services
Spacescope: API service for the Filecoin ecosystem,fil-miner-info.safematrix,project_a,Spacescope: API service for the Filecoin ecosystem
Axelar Network,FIL RetroPGF Data Analysis & Round Modeling,project_a,Axelar Network
Forest,Filecoin Client Implementation - Venus,project_a,Forest
JZFS - Building Data Hub-and-Spoke Model with Filecoin,ETHAccra,project_b,ETHAccra
filsnap,Storacha-Solana-SDK,project_a,filsnap
CalibrationNet Stability Project,FIL-B (FIL Builders) DX and Community,project_b,FIL-B (FIL Builders) DX and Community
Lily: blockchain data extraction for Filecoin,OneForm – SocialCap,project_a,Lily: blockchain data extraction for Filecoin
OrbitChina,Ancients Research,project_b,Ancients Research
Eastore,ETH-FIL swap,project_a,Eastore
CIDgravity Filecoin Gateway,chainfee,project_a,CIDgravity Filecoin Gateway
Secured Finance,IPFS及Filecoin价值资讯传递（南山居士Hill）,project_a,Secured Finance
Filecoin FIPs Tracker,Filecoin Beam,project_b,Filecoin Beam
Multichain Storage,Metrics for the Filecoin P2P network health,project_a,Multichain Storage
Filecoin Orbit Bootcamp Africa,Meet with Huddle01,project_b,Meet with Huddle01
Curio Smart Cordon & Restart System,MUSE,project_a,Curio Smart Cordon & Restart System
OpenEdStore Decentralized Educational Storage Platform,Filscan Explorer,project_b,Filscan Explorer
py-libp2p: The Python libp2p Stack for Filecoin & IPFS,IPFS Public Utilities,project_b,IPFS Public Utilities
Filecoin Address Drainer,Filmint,project_b,Filmint
FIL LAGOS,B<>rder/ess Developers Program,project_b,B<>rder/ess Developers Program
MYRAD,iso-filecoin,project_b,iso-filecoin
Beryx Filecoin Explorer,witnesschain,project_a,Beryx Filecoin Explorer
Crossfi,Keypo,project_a,Crossfi
FilOz – Advancing the Filecoin Protocol,Filecoin Data Portal,project_a,FilOz – Advancing the Filecoin Protocol
MechaFIL-JAX,Filecoin Community Service -VenusHub,project_b,Filecoin Community Service -VenusHub
Filliquid,SealGuard,project_a,Filliquid
FILCAPETOWN,Filecoin BigQuery Data Repository,project_b,Filecoin BigQuery Data Repository
go-libp2p,Filecoin Kenya Community,project_a,go-libp2p
Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods,Filosign,project_a,Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods
Eth Transport – Decentralized Civic Infrastructure on Filecoin,Old Faithful,project_b,Old Faithful
Lighthouse,FIP 100 Research & Development,project_b,FIP 100 Research & Development
Asia-SPWG,Retrieval Tester,project_a,Asia-SPWG
Curio Dashboard,Chain.Love,project_b,Chain.Love
Safe on Filecoin,Guide To Filecoin - Easing the Transition to Filecoin.,project_a,Safe on Filecoin
FIP Editors - Filecoin Improvement Proposal Governance,filecoin-checker,project_a,FIP Editors - Filecoin Improvement Proposal Governance
GainForest: The world’s first community-owned data commons for nature impact,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election,project_b,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election
Curio Snark Market,BlockseBlock,project_a,Curio Snark Market
WarmWeb,"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments",project_b,"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments"
ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption),Forest Archive,project_b,Forest Archive
MetaEra,libp2p Community Architecting and Infra Management,project_b,libp2p Community Architecting and Infra Management
OneForm – SocialCap,Filecoin Orbit Uganda,project_b,Filecoin Orbit Uganda
Filecoin Community Service -VenusHub,Ancients Research,project_a,Filecoin Community Service -VenusHub
SealGuard,FilOz – Advancing the Filecoin Protocol,project_b,FilOz – Advancing the Filecoin Protocol
4EVERLAND,Filosign,project_a,4EVERLAND
Filecoin Orbit Bootcamp Africa,The Epoch Clock,project_a,Filecoin Orbit Bootcamp Africa
Old Faithful,PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild,project_b,PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild
Filecoin Spark,Filscan Explorer,project_a,Filecoin Spark
Keypo,fil-miner-info.safematrix,project_b,fil-miner-info.safematrix
CIDgravity Filecoin Gateway,OP Medicine – Filecoin-Powered Healthcare Infrastructure,project_a,CIDgravity Filecoin Gateway
NanoDC Project,WarmWeb,project_a,NanoDC Project
Beryx Filecoin Explorer,Filecoin Ledger App & Installation Hub,project_b,Filecoin Ledger App & Installation Hub
Filmint,ND Labs,project_b,ND Labs
GainForest: The world’s first community-owned data commons for nature impact,go-libp2p,project_b,go-libp2p
ETH-FIL swap,UCAN,project_b,UCAN
Lynx – Storage Provider Retrieval Analytics Platform,CalibrationNet Stability Project,project_a,Lynx – Storage Provider Retrieval Analytics Platform
Filecoin Beam,Metrics for the Filecoin P2P network health,project_a,Filecoin Beam
Eth Transport – Decentralized Civic Infrastructure on Filecoin,Boxo and Kubo,project_b,Boxo and Kubo
filsnap,Filecoin Nigeria,project_a,filsnap
Helia,FilDOS,project_a,Helia
MUSE,Guide To Filecoin - Easing the Transition to Filecoin.,project_a,MUSE
IPFS Public Utilities,iso-filecoin,project_a,IPFS Public Utilities
Cyberport Data Integration,MechaFIL-JAX,project_b,MechaFIL-JAX
Storacha-Solana-SDK,BlockseBlock,project_b,BlockseBlock
Fil Implementers WG - Cross-Client Coordination and Governance,Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods,project_b,Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods
Forest Archive,FILCAPETOWN,project_a,Forest Archive
boxo-starter-kit,Curio Smart Cordon & Restart System,project_b,Curio Smart Cordon & Restart System
FIP 100 Research & Development,Curio APT Repository (Filecoin APT),project_a,FIP 100 Research & Development
Boost,Filecoin BigQuery Data Repository,project_a,Boost
FilPonto: Public goods chain infrastructure & collaborations support for Filecoin,Crossfi,project_b,Crossfi
"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges.","Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations",project_b,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations"
py-libp2p: The Python libp2p Stack for Filecoin & IPFS,FIL-B (FIL Builders) DX and Community,project_b,FIL-B (FIL Builders) DX and Community
Filecoin Address Drainer,IPFS Desktop and Companion,project_b,IPFS Desktop and Companion
Forest Explorer,Filet Finance,project_b,Filet Finance
Open Source Observer (OSO),Safe on Filecoin,project_a,Open Source Observer (OSO)
OpenEdStore Decentralized Educational Storage Platform,JZFS - Building Data Hub-and-Spoke Model with Filecoin,project_b,JZFS - Building Data Hub-and-Spoke Model with Filecoin
Filecoin Community Services,Filecoin FIPs Tracker,project_a,Filecoin Community Services
Cuview,libp2p Community Architecting and Infra Management,project_b,libp2p Community Architecting and Infra Management
MYRAD,B<>rder/ess Developers Program,project_b,B<>rder/ess Developers Program
Chain.Love,filecoin-checker,project_a,Chain.Love
Filecoin Kenya Community,Lily: blockchain data extraction for Filecoin,project_b,Lily: blockchain data extraction for Filecoin
Curio Snark Market,Multichain Storage,project_b,Multichain Storage
Curio Dashboard,FileScope AI: Blockchain-Powered Dataset Analysis Platform,project_a,Curio Dashboard
FIP Editors - Filecoin Improvement Proposal Governance,DevTTY Filecoin Mainnet Bootstrap Nodes,project_a,FIP Editors - Filecoin Improvement Proposal Governance
Lighthouse,Filecoin Client Implementation - Venus,project_b,Filecoin Client Implementation - Venus
Blockscout Open Source Filecoin Explorer,Axelar Network,project_a,Blockscout Open Source Filecoin Explorer
Asia-SPWG,CIDgravity Nextcloud App,project_b,CIDgravity Nextcloud App
IPFS及Filecoin价值资讯传递（南山居士Hill）,Filecoin Deal Tool - Droplet,project_b,Filecoin Deal Tool - Droplet
Silvi: IPFS-Powered Biodiversity Infrastructure,ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption),project_a,Silvi: IPFS-Powered Biodiversity Infrastructure
Beryx Filecoin API,Secured Finance,project_b,Secured Finance
Filecoin Data Portal,Eastore,project_a,Filecoin Data Portal
万佳社区,Curio Storage,project_b,Curio Storage
chainfee,"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments",project_b,"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments"
Drips,Spacescope: API service for the Filecoin ecosystem,project_b,Spacescope: API service for the Filecoin ecosystem
MetaEra,OrbitChina,project_b,OrbitChina
witnesschain,Root Key Holder management portal,project_b,Root Key Holder management portal
Meet with Huddle01,FIL RetroPGF Data Analysis & Round Modeling,project_b,FIL RetroPGF Data Analysis & Round Modeling
Filecoin Slack Community Admin,Forest,project_b,Forest
drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election,FIL LAGOS,project_a,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election
Filliquid,FilPunks,project_a,Filliquid
Retrieval Tester,ETHAccra,project_a,Retrieval Tester
Filecoin Orbit Uganda,Filecoin Community Service -VenusHub,project_b,Filecoin Community Service -VenusHub
FilOz – Advancing the Filecoin Protocol,OneForm – SocialCap,project_a,FilOz – Advancing the Filecoin Protocol
Ancients Research,4EVERLAND,project_b,4EVERLAND
The Epoch Clock,SealGuard,project_b,SealGuard
Filosign,PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild,project_b,PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild
Filecoin Orbit Bootcamp Africa,Filecoin Spark,project_b,Filecoin Spark
fil-miner-info.safematrix,Old Faithful,project_a,fil-miner-info.safematrix
OP Medicine – Filecoin-Powered Healthcare Infrastructure,Filscan Explorer,project_b,Filscan Explorer
WarmWeb,Keypo,project_a,WarmWeb
Filecoin Ledger App & Installation Hub,CIDgravity Filecoin Gateway,project_b,CIDgravity Filecoin Gateway
Filmint,NanoDC Project,project_b,NanoDC Project
GainForest: The world’s first community-owned data commons for nature impact,Beryx Filecoin Explorer,project_a,GainForest: The world’s first community-owned data commons for nature impact
ND Labs,ETH-FIL swap,project_a,ND Labs
go-libp2p,Lynx – Storage Provider Retrieval Analytics Platform,project_a,go-libp2p
Filecoin Beam,UCAN,project_a,Filecoin Beam
CalibrationNet Stability Project,Boxo and Kubo,project_b,Boxo and Kubo
Metrics for the Filecoin P2P network health,Filecoin Nigeria,project_a,Metrics for the Filecoin P2P network health
Eth Transport – Decentralized Civic Infrastructure on Filecoin,Helia,project_b,Helia
MUSE,filsnap,project_b,filsnap
FilDOS,IPFS Public Utilities,project_b,IPFS Public Utilities
Guide To Filecoin - Easing the Transition to Filecoin.,MechaFIL-JAX,project_b,MechaFIL-JAX
Storacha-Solana-SDK,iso-filecoin,project_b,iso-filecoin
Fil Implementers WG - Cross-Client Coordination and Governance,Cyberport Data Integration,project_a,Fil Implementers WG - Cross-Client Coordination and Governance
BlockseBlock,Forest Archive,project_b,Forest Archive
Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods,Curio Smart Cordon & Restart System,project_b,Curio Smart Cordon & Restart System
FIP 100 Research & Development,FILCAPETOWN,project_a,FIP 100 Research & Development
boxo-starter-kit,Boost,project_b,Boost
Curio APT Repository (Filecoin APT),FilPonto: Public goods chain infrastructure & collaborations support for Filecoin,project_a,Curio APT Repository (Filecoin APT)
Filecoin BigQuery Data Repository,"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges.",project_a,Filecoin BigQuery Data Repository
Crossfi,FIL-B (FIL Builders) DX and Community,project_b,FIL-B (FIL Builders) DX and Community
Filecoin Address Drainer,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations",project_b,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations"
Forest Explorer,py-libp2p: The Python libp2p Stack for Filecoin & IPFS,project_b,py-libp2p: The Python libp2p Stack for Filecoin & IPFS
Open Source Observer (OSO),IPFS Desktop and Companion,project_b,IPFS Desktop and Companion
JZFS - Building Data Hub-and-Spoke Model with Filecoin,Filet Finance,project_b,Filet Finance
Filecoin Community Services,Safe on Filecoin,project_a,Filecoin Community Services
libp2p Community Architecting and Infra Management,OpenEdStore Decentralized Educational Storage Platform,project_a,libp2p Community Architecting and Infra Management
Filecoin FIPs Tracker,B<>rder/ess Developers Program,project_b,B<>rder/ess Developers Program
Cuview,filecoin-checker,project_b,filecoin-checker
Filecoin Kenya Community,MYRAD,project_a,Filecoin Kenya Community
Chain.Love,Multichain Storage,project_a,Chain.Love
Lily: blockchain data extraction for Filecoin,FileScope AI: Blockchain-Powered Dataset Analysis Platform,project_a,Lily: blockchain data extraction for Filecoin
Curio Snark Market,FIP Editors - Filecoin Improvement Proposal Governance,project_a,Curio Snark Market
Lighthouse,Curio Dashboard,project_a,Lighthouse
Axelar Network,DevTTY Filecoin Mainnet Bootstrap Nodes,project_a,Axelar Network
CIDgravity Nextcloud App,Filecoin Client Implementation - Venus,project_b,Filecoin Client Implementation - Venus
Blockscout Open Source Filecoin Explorer,Filecoin Deal Tool - Droplet,project_a,Blockscout Open Source Filecoin Explorer
ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption),Asia-SPWG,project_a,ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption)
Secured Finance,IPFS及Filecoin价值资讯传递（南山居士Hill）,project_a,Secured Finance
Filecoin Data Portal,Silvi: IPFS-Powered Biodiversity Infrastructure,project_a,Filecoin Data Portal
Curio Storage,Beryx Filecoin API,project_a,Curio Storage
Eastore,"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments",project_b,"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments"
万佳社区,Drips,project_b,Drips
chainfee,OrbitChina,project_b,OrbitChina
Root Key Holder management portal,Spacescope: API service for the Filecoin ecosystem,project_b,Spacescope: API service for the Filecoin ecosystem
MetaEra,FIL RetroPGF Data Analysis & Round Modeling,project_b,FIL RetroPGF Data Analysis & Round Modeling
witnesschain,Filecoin Slack Community Admin,project_a,witnesschain
Meet with Huddle01,FIL LAGOS,project_b,FIL LAGOS
Forest,FilPunks,project_a,Forest
ETHAccra,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election,project_b,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election
Filliquid,Retrieval Tester,project_a,Filliquid
Filecoin Orbit Uganda,FilOz – Advancing the Filecoin Protocol,project_b,FilOz – Advancing the Filecoin Protocol
4EVERLAND,Filecoin Community Service -VenusHub,project_b,Filecoin Community Service -VenusHub
The Epoch Clock,OneForm – SocialCap,project_b,OneForm – SocialCap
PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild,Ancients Research,project_a,PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild
SealGuard,Filecoin Spark,project_b,Filecoin Spark
Filosign,fil-miner-info.safematrix,project_b,fil-miner-info.safematrix
OP Medicine – Filecoin-Powered Healthcare Infrastructure,Filecoin Orbit Bootcamp Africa,project_a,OP Medicine – Filecoin-Powered Healthcare Infrastructure
WarmWeb,Old Faithful,project_a,WarmWeb
Filecoin Ledger App & Installation Hub,Filscan Explorer,project_a,Filecoin Ledger App & Installation Hub
Filmint,Keypo,project_b,Keypo
CIDgravity Filecoin Gateway,GainForest: The world’s first community-owned data commons for nature impact,project_a,CIDgravity Filecoin Gateway
NanoDC Project,ETH-FIL swap,project_a,NanoDC Project
Lynx – Storage Provider Retrieval Analytics Platform,Beryx Filecoin Explorer,project_a,Lynx – Storage Provider Retrieval Analytics Platform
ND Labs,Filecoin Beam,project_b,Filecoin Beam
go-libp2p,Boxo and Kubo,project_a,go-libp2p
Filecoin Nigeria,UCAN,project_b,UCAN
CalibrationNet Stability Project,Helia,project_b,Helia
MUSE,Metrics for the Filecoin P2P network health,project_b,Metrics for the Filecoin P2P network health
Eth Transport – Decentralized Civic Infrastructure on Filecoin,IPFS Public Utilities,project_b,IPFS Public Utilities
filsnap,MechaFIL-JAX,project_b,MechaFIL-JAX
Storacha-Solana-SDK,FilDOS,project_b,FilDOS
Fil Implementers WG - Cross-Client Coordination and Governance,Guide To Filecoin - Easing the Transition to Filecoin.,project_a,Fil Implementers WG - Cross-Client Coordination and Governance
iso-filecoin,Forest Archive,project_a,iso-filecoin
Cyberport Data Integration,Curio Smart Cordon & Restart System,project_b,Curio Smart Cordon & Restart System
BlockseBlock,FIP 100 Research & Development,project_b,FIP 100 Research & Development
Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods,Boost,project_b,Boost
FILCAPETOWN,FilPonto: Public goods chain infrastructure & collaborations support for Filecoin,project_b,FilPonto: Public goods chain infrastructure & collaborations support for Filecoin
boxo-starter-kit,"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges.",project_b,"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges."
FIL-B (FIL Builders) DX and Community,Curio APT Repository (Filecoin APT),project_a,FIL-B (FIL Builders) DX and Community
Filecoin Address Drainer,Filecoin BigQuery Data Repository,project_b,Filecoin BigQuery Data Repository
Crossfi,Forest Explorer,project_a,Crossfi
Open Source Observer (OSO),"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations",project_b,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations"
py-libp2p: The Python libp2p Stack for Filecoin & IPFS,JZFS - Building Data Hub-and-Spoke Model with Filecoin,project_a,py-libp2p: The Python libp2p Stack for Filecoin & IPFS
IPFS Desktop and Companion,Filecoin Community Services,project_a,IPFS Desktop and Companion
libp2p Community Architecting and Infra Management,Filet Finance,project_a,libp2p Community Architecting and Infra Management
Safe on Filecoin,B<>rder/ess Developers Program,project_b,B<>rder/ess Developers Program
filecoin-checker,OpenEdStore Decentralized Educational Storage Platform,project_a,filecoin-checker
Filecoin Kenya Community,Filecoin FIPs Tracker,project_a,Filecoin Kenya Community
Cuview,Multichain Storage,project_b,Multichain Storage
MYRAD,FileScope AI: Blockchain-Powered Dataset Analysis Platform,project_a,MYRAD
Chain.Love,FIP Editors - Filecoin Improvement Proposal Governance,project_a,Chain.Love
Lighthouse,Lily: blockchain data extraction for Filecoin,project_b,Lily: blockchain data extraction for Filecoin
Curio Snark Market,Axelar Network,project_b,Axelar Network
Curio Dashboard,CIDgravity Nextcloud App,project_b,CIDgravity Nextcloud App
Filecoin Deal Tool - Droplet,DevTTY Filecoin Mainnet Bootstrap Nodes,project_a,Filecoin Deal Tool - Droplet
ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption),Filecoin Client Implementation - Venus,project_b,Filecoin Client Implementation - Venus
Blockscout Open Source Filecoin Explorer,Secured Finance,project_a,Blockscout Open Source Filecoin Explorer
Filecoin Data Portal,Asia-SPWG,project_a,Filecoin Data Portal
Curio Storage,IPFS及Filecoin价值资讯传递（南山居士Hill）,project_a,Curio Storage
Silvi: IPFS-Powered Biodiversity Infrastructure,"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments",project_a,Silvi: IPFS-Powered Biodiversity Infrastructure
Beryx Filecoin API,Drips,project_b,Drips
Eastore,OrbitChina,project_a,Eastore
万佳社区,Root Key Holder management portal,project_b,Root Key Holder management portal
chainfee,FIL RetroPGF Data Analysis & Round Modeling,project_a,chainfee
Filecoin Slack Community Admin,Spacescope: API service for the Filecoin ecosystem,project_b,Spacescope: API service for the Filecoin ecosystem
MetaEra,FIL LAGOS,project_a,MetaEra
witnesschain,FilPunks,project_a,witnesschain
ETHAccra,Meet with Huddle01,project_a,ETHAccra
Forest,Retrieval Tester,project_a,Forest
Filliquid,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election,project_b,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election
4EVERLAND,Filecoin Orbit Uganda,project_a,4EVERLAND
The Epoch Clock,FilOz – Advancing the Filecoin Protocol,project_b,FilOz – Advancing the Filecoin Protocol
